,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,projectrank,show,projectrank_placing,trending,labels,updated_github_id
52,vue-argon-dashboard,creativetimofficial/vue-argon-dashboard,,admin-dashboards,https://github.com/creativetimofficial/vue-argon-dashboard,https://github.com/creativetimofficial/vue-argon-dashboard,MIT,2019-04-08 12:17:09,2024-07-12 10:45:58,2024-07-12 10:45:58,20,,764.0,13,43.0,5.0,45.0,400.0,2024-02-27 10:56:13,4.0.0,,,5.0,Vue Argon Dashboard.,,,4.0,,,13,True,3,,"['vue3', 'bootstrap5']",
53,Vue Chimera,chimera-js/vue-chimera,,http-integrations,https://github.com/chimera-js/vue-chimera,https://github.com/chimera-js/vue-chimera,MIT,2018-08-02 13:06:12,2022-12-10 17:10:26,2020-03-20 19:50:38,176,,15.0,7,40.0,2.0,12.0,171.0,2020-03-20 15:47:54,3.0.2,,,7.0,VueJS reactive RESTful API.,26.0,26.0,2.0,,,13,True,1,,"['vue2', 'vue3', 'axios']",
54,vue-stator,galvez/vue-stator,vue-stator,state-management,https://github.com/galvez/vue-stator,https://github.com/galvez/vue-stator,,2019-10-06 17:56:39,2023-01-04 22:35:09,2021-01-26 01:25:08,123,,3.0,6,38.0,4.0,6.0,165.0,2019-11-22 17:42:00,1.2.0,,62.0,3.0,Vuex alternative based on Vue.observable().,6.0,6.0,4.0,https://www.npmjs.com/package/vue-stator,62.0,11,True,3,,[],
55,Storybook for Nuxt framework,storybook-vue/nuxt,,dev-tools,https://github.com/storybook-vue/storybook-nuxt,https://github.com/storybook-vue/storybook-nuxt,,2023-07-23 03:19:03,2024-05-19 21:09:22,2024-04-19 06:42:07,385,,20.0,10,46.0,31.0,26.0,133.0,2024-03-29 13:20:44,0.2.6,,,10.0,Deprecated in favor of https://github.com/nuxt-modules/storybook/.,5.0,5.0,7.0,,,11,True,3,,[],storybook-vue/storybook-nuxt
56,tailwindui-vue,tailwindlabs/tailwindui-vue,,components,https://github.com/tailwindlabs/tailwindui-vue,https://github.com/tailwindlabs/tailwindui-vue,,2020-05-29 17:04:32,2020-10-02 21:51:16,2020-10-02 21:50:05,9,,28.0,59,9.0,,7.0,647.0,,,,,,"Deprecated, please use the Headless UI repo instead.",20.0,20.0,4.0,,,10,True,3,,['tailwind'],
57,vue-redux,yang-wei/vue-redux,vue-redux,state-management,https://github.com/yang-wei/vue-redux,https://github.com/yang-wei/vue-redux,,2015-07-11 07:22:47,2017-07-15 04:36:28,2016-02-07 03:02:14,61,,12.0,3,17.0,,9.0,142.0,2015-07-26 09:31:05,0.0.1,,72.0,1.0,What happen when Vue.js + Redux.,18.0,18.0,6.0,https://www.npmjs.com/package/vue-redux,72.0,10,False,3,,[],
58,vue3-draggable,shkilo/vue3-draggable,,dnd,https://github.com/shkilo/vue3-draggable,https://github.com/shkilo/vue3-draggable,MIT,2020-12-27 13:50:23,2023-01-11 17:43:22,2021-06-07 12:33:47,72,,19.0,1,6.0,9.0,1.0,36.0,,,,,,simple drag&drop component for vue 3.x.,357.0,357.0,,,,10,True,3,,['vue3'],
59,Relay client integration,vue-relay/vue-relay,,graphql-integrations,https://github.com/vue-relay/vue-relay,https://github.com/vue-relay/vue-relay,BSD-2-Clause,2018-02-19 09:37:01,2021-10-29 20:57:48,2021-08-12 02:14:10,45,,10.0,8,13.0,4.0,4.0,119.0,,,,,,A framework for building GraphQL-driven Vue.js applications.,14.0,14.0,2.0,,,9,True,3,,"['vue2', 'vue3', 'relay']",
60,Storybook Addon Nuxt,hirotaka/storybook-addon-nuxt,,dev-tools,https://github.com/hirotaka/storybook-addon-nuxt,https://github.com/hirotaka/storybook-addon-nuxt,,2023-05-15 06:27:22,2023-09-28 06:00:27,2023-09-28 06:00:27,20,,13.0,4,10.0,12.0,3.0,78.0,2023-06-08 01:30:33,1.3.3,,,7.0,This add-on makes it easier to set up Storybook in your Nuxt3 project.,60.0,60.0,2.0,,,9,True,3,,[],
61,vue-freeze,BosNaufal/vue-freeze,vue-freeze,state-management,https://github.com/BosNaufal/vue-freeze,https://github.com/BosNaufal/vue-freeze,MIT,2016-03-17 03:58:56,2018-05-05 06:30:03,2016-06-15 02:35:17,10,,4.0,6,1.0,2.0,2.0,74.0,,,,24.0,,Simple state management whitout bloating API and Concept for Vue.js.,2.0,2.0,,https://www.npmjs.com/package/vue-freeze,24.0,7,False,3,1.0,[],
62,vue-simple-store,BosNaufal/vue-simple-store,vue-simple-store,state-management,https://github.com/BosNaufal/vue-simple-store,https://github.com/BosNaufal/vue-simple-store,MIT,2016-03-30 03:21:00,2016-03-30 05:15:51,2016-03-30 03:32:51,2,,7.0,2,,,,67.0,,,,14.0,,Store Organizer To Simplify Your Stores.,9.0,9.0,,https://www.npmjs.com/package/vue-simple-store,14.0,6,False,3,,[],
63,SuperBVue,superbvue/SuperBVue,superbvue,ui-frameworks,https://github.com/superbvue/SuperBVue,https://github.com/superbvue/SuperBVue,,2020-12-07 13:02:01,2021-01-05 08:23:14,2021-01-05 08:22:19,40,,2.0,2,,,,14.0,,,,30.0,,The Most Complete Vue UI Component Library using bootstrap v5.,6.0,6.0,,https://www.npmjs.com/package/superbvue,30.0,5,False,3,,"['vue3', 'typescript']",
64,Equal UI,quatrochan/Equal,equal-vue,ui-frameworks,https://github.com/quatrochan/Equal,https://github.com/quatrochan/Equal,,2024-04-17 19:32:29,2024-04-17 19:38:15,2024-04-17 19:38:09,1,,,1,,,,,,,,2784.0,,Redirect to the new repository.,,,,https://www.npmjs.com/package/equal-vue,2784.0,4,False,3,,"['vue3', 'typescript']",
